id,category,publisher,title,url,source_type,implementation_use,accessed
R039,AI pricing,Google AI,Gemini Developer API pricing,https://ai.google.dev/gemini-api/docs/pricing,official vendor docs,Current model prices and data-use statements.,2026-06-20
R040,AI lifecycle,Google AI,Gemini API deprecations,https://ai.google.dev/gemini-api/docs/deprecations,official vendor docs,Models require lifecycle-aware registry.,2026-06-20
R041,On-device AI,Apple,WWDC26 Apple Intelligence guide,https://developer.apple.com/wwdc26/guides/apple-intelligence/,official technical,Foundation Models on-device provider framework.,2026-06-20
R042,On-device AI,Apple,Foundation Models documentation,https://developer.apple.com/documentation/foundationmodels,official technical,Structured output/tool calling on supported devices.,2026-06-20
R043,Gamification,"Bitrián, Buil & Catalán",Making finance fun: the gamification of personal financial management apps,https://selfdeterminationtheory.org/wp-content/uploads/2024/03/2021_BitrianBuilCatalan_IJBM.pdf,peer reviewed,Gamification can support competence/autonomy and motivation.,2026-06-20
R044,Motivation,Self-Determination Theory,Theory overview,https://selfdeterminationtheory.org/theory/,research hub,Autonomy and competence as motivation supports.,2026-06-20
R045,File format,Financial Data Exchange,OFX 2.3 Specification,https://www.financialdataexchange.org/FDX/FDX/OFX/OFX-Work-Group.aspx,industry standard,OFX/QFX parser reference; verify current download location.,2026-06-20
R046,Recurrence,RFC Editor,RFC 5545 iCalendar,https://www.rfc-editor.org/rfc/rfc5545,standard,Recurrence and calendar semantics.,2026-06-20
R047,Time,RFC Editor,RFC 3339 Date and Time,https://www.rfc-editor.org/rfc/rfc3339,standard,Interchange timestamps.,2026-06-20
R048,OCR,Apple,Recognizing text in images,https://developer.apple.com/documentation/vision/recognizing-text-in-images,official technical,On-device Vision OCR.,2026-06-20
R049,OCR,Google ML Kit,Text recognition v2,https://developers.google.com/ml-kit/vision/text-recognition/v2,official technical,On-device Android OCR.,2026-06-20
R050,Authentication,Android,Credential Manager Sign in with Google,https://developer.android.com/identity/sign-in/credential-manager-siwg,official technical,Unified sign-in/passkey path.,2026-06-20
R051,Authentication,Apple,Supporting passkeys,https://developer.apple.com/documentation/authenticationservices/supporting-passkeys,official technical,Passkey account authentication and recovery considerations.,2026-06-20
